Day_Num,Hour,Demand_Category,Trip_Count,Avg_Surge,Avg_Wait,Avg_Fare
0,8.0,Morning Peak,2019,1.46,3.64,135.86
0,14.0,Midday,1728,1.19,3.79,119.92
0,18.0,Evening Peak,2215,1.47,3.75,138.83
0,22.0,Night,1181,1.19,3.85,118.88
1,8.0,Morning Peak,2098,1.48,3.76,137.77
1,14.0,Midday,1688,1.2,3.65,118.44
1,18.0,Evening Peak,2131,1.48,3.85,138.0
1,22.0,Night,1252,1.21,3.76,118.15
2,8.0,Morning Peak,2128,1.48,3.68,140.28
2,14.0,Midday,1762,1.2,3.77,123.59
2,18.0,Evening Peak,2165,1.47,3.71,139.91
2,22.0,Night,1142,1.2,3.88,119.43
3,8.0,Morning Peak,2030,1.47,3.69,141.72
3,14.0,Midday,1776,1.19,3.67,121.38
3,18.0,Evening Peak,2160,1.48,3.75,140.32
3,22.0,Night,1184,1.2,3.94,119.75
4,8.0,Morning Peak,2085,1.48,3.73,140.03
4,14.0,Midday,1617,1.19,3.71,118.56
4,18.0,Evening Peak,2207,1.47,3.72,138.82
4,22.0,Night,1160,1.2,3.74,122.21
5,8.0,Morning Peak,2078,1.48,3.67,139.04
5,14.0,Midday,1692,1.19,3.77,122.03
5,18.0,Evening Peak,2115,1.47,3.69,140.23
5,22.0,Night,1211,1.2,3.84,119.49
6,8.0,Morning Peak,2063,1.47,3.82,140.93
6,14.0,Midday,1716,1.21,3.62,122.34
6,18.0,Evening Peak,2021,1.48,3.77,140.51
6,22.0,Night,1176,1.2,3.72,121.03
