Trip_ID,Customer_ID,Driver_ID,Customer_Age,Customer_Gender,Is_Prime_Member,Vehicle_Type,Distance_KM,Duration_Min,Day_of_Week,day_num,hour,demand_category,Weather_Condition,weather_severity,Traffic_Level,traffic_severity,Surge_Multiplier,baseline_surge,calyber_surge,Total_Fare,baseline_fare,calyber_fare,base_fare_estimate,surge_premium,surge_premium_pct,Wait_Time_Min,captive_rider_index,captive_quartile,fairness_band,high_demand,savings,surge_reduction
TRIP59574807,509417,709798,54,F,1,Mini,15.47,68.2,Saturday,5,8.0,Morning Peak,Clear,0,High,2,1.51,1.51,1.3,294.42,294.42,253.4741721854305,194.98013245033115,99.43986754966888,51.000000000000014,11.9,0.4947257383966245,Extreme,High,1,40.945827814569526,0.20999999999999996
TRIP04812360,552647,716227,52,F,0,Bike,13.59,45.2,Monday,0,14.0,Midday,Clear,0,Low,0,1.0,1.0,1.0,92.04,92.04,92.04,92.04,0.0,0.0,4.9,0.1286549707602339,Medium,Fair,0,0.0,0.0
TRIP99979064,554542,712361,50,M,0,SUV,6.32,16.2,Friday,4,18.0,Evening Peak,Cloudy,1,Medium,1,1.4,1.4,1.4,188.58,188.58,188.58,134.70000000000002,53.88,39.99999999999999,0.5,0.1265822784810126,Medium,Moderate,0,0.0,0.0
TRIP29201147,522723,715380,22,F,0,SUV,8.48,22.8,Sunday,6,8.0,Morning Peak,Clear,0,High,2,1.58,1.58,1.5,255.19,255.19,242.26898734177217,161.5126582278481,93.67734177215188,57.99999999999999,0.7,0.1893922570138426,High,High,1,12.921012658227824,0.08000000000000007
TRIP41444547,535452,717385,31,M,0,SUV,7.86,38.9,Friday,4,14.0,Midday,Cloudy,1,Low,0,1.0,1.0,1.0,204.33,204.33,204.33,204.33,0.0,0.0,0.5,0.0,Low,Fair,0,0.0,0.0
TRIP74513782,577837,706496,40,M,0,Mini,4.43,18.5,Thursday,3,22.0,Night,Cloudy,1,Medium,1,1.07,1.07,1.07,81.71,81.71,81.71,76.3644859813084,5.345514018691588,7.000000000000001,11.0,0.3291694425938263,Extreme,Fair,0,0.0,0.0
TRIP80090429,574336,706191,59,M,0,Prime,1.36,5.3,Thursday,3,22.0,Night,Rainy,3,High,2,1.6,1.6,1.3,103.08,103.08,83.7525,64.425,38.655,60.00000000000001,5.6,0.3389962247390628,Extreme,High,1,19.3275,0.30000000000000004
TRIP06419607,592251,706659,45,F,1,Auto,4.08,8.6,Wednesday,2,8.0,Morning Peak,Clear,0,Low,0,1.28,1.28,1.28,54.25,54.25,54.25,42.3828125,11.8671875,28.000000000000004,8.5,0.3225257235916796,Extreme,Moderate,0,0.0,0.0
TRIP90229092,596750,700241,18,M,0,Auto,3.6,13.9,Monday,0,14.0,Midday,Foggy,2,Medium,1,1.17,1.17,1.17,50.21,50.21,50.21000000000001,42.91452991452992,7.295470085470086,17.0,14.6,0.4660781701088162,Extreme,Fair,0,-7.105427357601002e-15,0.0
TRIP04936923,537045,713255,35,M,1,Auto,8.61,30.5,Thursday,3,18.0,Evening Peak,Clear,0,Low,0,1.12,1.12,1.12,96.21,96.21,96.20999999999998,85.9017857142857,10.3082142857143,12.00000000000002,1.5,0.0672144496261751,Low,Fair,0,1.4210854715202004e-14,0.0
TRIP53718139,546293,717425,41,F,0,Mini,3.06,11.2,Tuesday,1,8.0,Morning Peak,Clear,0,Severe,3,1.91,1.91,1.3,87.09,87.09,59.275916230366505,45.59685863874346,41.49314136125654,91.0,4.2,0.3961618180472277,Extreme,High,1,27.8140837696335,0.6099999999999999
TRIP52913993,533019,711485,51,F,0,Prime,8.04,14.3,Friday,4,18.0,Evening Peak,Rainy,3,Severe,3,2.2,2.2,1.3,432.09,432.09,255.32590909090908,196.40454545454543,235.6854545454545,120.0,3.9,0.4791620401214005,Extreme,Extreme,1,176.7640909090909,0.9000000000000001
TRIP96073599,522690,700806,29,M,0,Auto,2.68,4.8,Monday,0,18.0,Evening Peak,Clear,0,Medium,1,1.36,1.36,1.36,43.52,43.52,43.52,32.0,11.520000000000003,36.00000000000001,0.8,0.1226959804574728,Medium,Moderate,0,0.0,0.0
TRIP86773682,543714,705419,51,M,0,Mini,5.67,18.9,Saturday,5,8.0,Morning Peak,Clear,0,Low,0,1.15,1.15,1.15,102.04,102.04,102.04,88.73043478260871,13.309565217391295,14.999999999999988,3.9,0.1468835591087423,Medium,Fair,0,0.0,0.0
TRIP98381379,562975,711573,60,M,0,Mini,15.47,74.9,Thursday,3,,Night,Cloudy,1,High,2,1.44,1.44,1.44,275.71,275.71,275.71,191.46527777777777,84.24472222222221,43.99999999999999,0.5,0.1392405063291139,Medium,Moderate,0,0.0,0.0
TRIP02085257,580475,712031,58,F,0,Auto,18.95,38.9,Sunday,6,8.0,Morning Peak,Cloudy,1,High,2,1.58,1.58,1.5,248.29,248.29,235.71835443037972,157.14556962025316,91.14443037974684,58.00000000000001,2.4,0.2390998593530239,High,High,1,12.571645569620273,0.08000000000000007
TRIP77173372,589807,702258,31,M,1,Mini,3.69,11.6,Tuesday,1,18.0,Evening Peak,Rainy,3,Severe,3,2.03,2.03,1.3,100.41,100.41,64.30197044334976,49.46305418719212,50.94694581280788,103.0,8.5,0.5598674957435783,Extreme,Extreme,1,36.10802955665024,0.7299999999999998
TRIP80006710,513975,700557,25,F,1,Mini,5.16,12.0,Saturday,5,,Night,Clear,0,Severe,3,1.68,1.68,1.5,103.55,103.55,92.45535714285714,61.63690476190476,41.91309523809524,68.0,1.4,0.2415056628914057,High,High,1,11.094642857142858,0.17999999999999994
TRIP36060957,547156,715771,60,M,1,Auto,8.56,42.4,Thursday,3,18.0,Evening Peak,Clear,0,Medium,1,1.21,1.21,1.21,112.15,112.15,112.15,92.68595041322315,19.46404958677685,20.99999999999999,0.6,0.0693796728107187,Low,Moderate,0,0.0,0.0
TRIP65028822,556523,718127,56,F,1,SUV,1.17,4.2,Friday,4,8.0,Morning Peak,Cloudy,1,Low,0,1.33,1.33,1.33,88.2,88.2,88.2,66.3157894736842,21.8842105263158,33.000000000000014,0.5,0.1044303797468354,Low,Moderate,0,0.0,0.0
TRIP96164876,576499,716446,36,F,0,SUV,2.62,11.0,Sunday,6,18.0,Evening Peak,Stormy,4,Medium,1,2.0,2.0,1.3,148.55,148.55,96.5575,74.275,74.275,100.0,5.4,0.4597305500037012,Extreme,High,1,51.99250000000001,0.7
TRIP78058730,560283,702745,45,F,0,SUV,7.54,28.1,Friday,4,14.0,Midday,Cloudy,1,Severe,3,1.84,1.84,1.5,308.04,308.04,251.1195652173913,167.41304347826087,140.62695652173915,84.00000000000001,0.6,0.2687467614183137,High,High,1,56.92043478260871,0.3400000000000001
TRIP61592552,527654,719597,59,F,0,SUV,3.62,12.1,Thursday,3,8.0,Morning Peak,Rainy,3,Low,0,1.53,1.53,1.4,158.6,158.6,145.12418300653593,103.66013071895424,54.93986928104575,52.99999999999999,2.5,0.2262010511510844,High,High,1,13.475816993464065,0.13000000000000012
TRIP57211654,528138,712674,20,M,1,Auto,5.07,19.8,Sunday,6,8.0,Morning Peak,Rainy,3,Low,0,1.58,1.58,1.4,90.98,90.98,80.61518987341772,57.58227848101266,33.397721518987346,58.00000000000001,0.5,0.1835443037974683,Medium,High,1,10.364810126582285,0.18000000000000016
TRIP26218347,555702,707413,21,M,0,SUV,1.92,3.5,Wednesday,2,18.0,Evening Peak,Clear,0,Medium,1,1.3,1.3,1.3,97.41,97.41,97.41,74.93076923076923,22.479230769230767,30.0,2.3,0.1475682878081279,Medium,Moderate,0,0.0,0.0
TRIP30680140,581401,710112,49,F,0,Bike,12.59,23.7,Friday,4,8.0,Morning Peak,Clear,0,High,2,1.47,1.47,1.3,118.07,118.07,104.4156462585034,80.31972789115646,37.75027210884353,46.99999999999999,8.2,0.3738803760455992,Extreme,Moderate,0,13.654353741496593,0.16999999999999993
TRIP60218683,577154,700621,52,F,1,Mini,5.22,19.8,Wednesday,2,8.0,Morning Peak,Cloudy,1,Severe,3,1.92,1.92,1.3,133.54,133.54,90.41770833333334,69.55208333333333,63.98791666666666,92.0,2.8,0.3583907024946331,Extreme,High,1,43.122291666666655,0.6199999999999999
TRIP55928436,569631,702285,36,M,0,Sedan,10.37,32.9,Saturday,5,18.0,Evening Peak,Clear,0,Low,0,1.44,1.44,1.44,245.61,245.61,245.61000000000004,170.56250000000003,75.04749999999999,43.99999999999999,0.8,0.1480124361536753,Medium,Moderate,0,-2.842170943040401e-14,0.0
TRIP57010221,516621,703554,40,F,1,SUV,9.22,30.9,Wednesday,2,14.0,Midday,Clear,0,Severe,3,1.55,1.55,1.5,292.29,292.29,282.86129032258066,188.57419354838711,103.7158064516129,54.99999999999999,3.7,0.2676178843733807,High,High,1,9.428709677419363,0.050000000000000044
TRIP56803618,530150,711612,56,M,0,SUV,6.4,20.9,Tuesday,1,18.0,Evening Peak,Clear,0,Low,0,1.21,1.21,1.21,196.64,196.64,196.64,162.51239669421486,34.12760330578513,21.000000000000004,0.5,0.0664556962025316,Low,Moderate,0,0.0,0.0
TRIP67436809,508764,702483,56,F,0,SUV,12.09,23.8,Tuesday,1,8.0,Morning Peak,Cloudy,1,Medium,1,1.27,1.27,1.27,264.67,264.67,264.67,208.40157480314963,56.26842519685039,27.0,0.5,0.0854430379746835,Low,Moderate,0,0.0,0.0
TRIP43090926,545741,717571,59,F,0,Sedan,9.06,15.6,Thursday,3,8.0,Morning Peak,Cloudy,1,Low,0,1.12,1.12,1.12,177.51,177.51,177.51,158.49107142857142,19.01892857142857,12.000000000000002,6.2,0.2046413502109705,High,Fair,0,0.0,0.0
TRIP82200192,557921,718578,42,F,0,Sedan,3.63,7.8,Tuesday,1,18.0,Evening Peak,Cloudy,1,High,2,1.57,1.57,1.3,100.97,100.97,83.60573248407643,64.31210191082802,36.65789808917198,57.000000000000014,6.0,0.3411984602857354,Extreme,High,1,17.364267515923572,0.27
TRIP98152517,562873,704051,51,F,1,SUV,10.21,21.5,Tuesday,1,18.0,Evening Peak,Rainy,3,Severe,3,2.18,2.18,1.3,431.17,431.17,257.11972477064216,197.78440366972475,233.3855963302753,118.00000000000004,0.5,0.3734177215189874,Extreme,Extreme,1,174.05027522935785,0.8800000000000001
TRIP87458158,504161,702039,41,M,1,Bike,18.06,70.2,Thursday,3,14.0,Midday,Cloudy,1,Medium,1,1.0,1.0,1.0,138.15,138.15,138.15,138.15,0.0,0.0,5.6,0.1491228070175438,Medium,Fair,0,0.0,0.0
TRIP00613042,510340,703175,55,M,0,Sedan,7.41,27.3,Sunday,6,8.0,Morning Peak,Cloudy,1,Medium,1,1.25,1.25,1.25,177.45,177.45,177.45,141.95999999999998,35.49000000000001,25.00000000000001,3.1,0.1551373158634983,Medium,Moderate,0,0.0,0.0
TRIP27499342,517518,718805,57,M,1,Bike,13.5,61.9,Tuesday,1,18.0,Evening Peak,Cloudy,1,Medium,1,1.39,1.39,1.3,133.35,133.35,124.7158273381295,95.93525179856115,37.41474820143884,38.99999999999999,7.8,0.3368680139166481,Extreme,Moderate,0,8.634172661870494,0.08999999999999986
TRIP62252308,543890,703191,41,F,0,SUV,6.89,34.3,Sunday,6,14.0,Midday,Foggy,2,Severe,3,1.62,1.62,1.3,252.49,252.49,202.61543209876547,155.85802469135805,96.63197530864198,62.0,10.6,0.4915241690724702,Extreme,High,1,49.87456790123454,0.32000000000000006
TRIP70236281,589615,713719,20,M,1,Sedan,9.03,17.3,Sunday,6,14.0,Midday,Rainy,3,Medium,1,1.19,1.19,1.19,169.76,169.76,169.76,142.65546218487395,27.10453781512604,18.99999999999999,4.2,0.1683137167814049,Medium,Fair,0,0.0,0.0
TRIP07965637,530217,714897,55,M,1,Auto,9.25,16.2,Thursday,3,22.0,Night,Clear,0,High,2,1.27,1.27,1.27,119.27,119.27,119.27,93.91338582677164,25.35661417322835,27.000000000000007,1.4,0.1117588274483677,Medium,Moderate,0,0.0,0.0
TRIP95330408,514126,718278,53,F,0,Auto,3.75,14.6,Sunday,6,8.0,Morning Peak,Clear,0,Medium,1,1.19,1.19,1.19,55.19,55.19,55.19000000000001,46.37815126050421,8.811848739495794,18.99999999999999,4.1,0.1653897401732178,Medium,Fair,0,-1.4210854715202004e-14,0.0
TRIP47608622,595288,717681,21,F,1,Auto,11.97,41.3,Tuesday,1,8.0,Morning Peak,Clear,0,Medium,1,1.29,1.29,1.29,141.85,141.85,141.85,109.96124031007751,31.88875968992248,29.000000000000004,2.2,0.1414797542379154,Medium,Moderate,0,0.0,0.0
TRIP62977557,525596,719948,20,M,1,SUV,1.21,2.6,Friday,4,22.0,Night,Clear,0,Medium,1,1.01,1.01,1.01,67.88,67.88,67.88,67.20792079207921,0.6720792079207882,0.9999999999999944,2.1,0.0499481826930194,Low,Fair,0,0.0,0.0
TRIP31406383,593603,701835,50,F,1,Bike,7.39,12.7,Tuesday,1,14.0,Midday,Cloudy,1,Low,0,1.1,1.1,1.1,52.76,52.76,52.76,47.96363636363636,4.796363636363637,10.000000000000002,4.8,0.1573765637722999,Medium,Fair,0,0.0,0.0
TRIP47078436,516460,703289,46,Other,1,Auto,1.05,2.4,Thursday,3,14.0,Midday,Cloudy,1,Severe,3,1.66,1.66,1.3,30.72,30.72,24.057831325301205,18.50602409638554,12.213975903614458,66.0,3.4,0.2936560811310977,Extreme,High,1,6.662168674698794,0.3599999999999999
TRIP99955093,599236,708831,48,F,0,Sedan,6.05,17.3,Saturday,5,18.0,Evening Peak,Clear,0,Low,0,1.41,1.41,1.3,155.5,155.5,143.36879432624116,110.28368794326242,45.21631205673758,40.99999999999999,9.3,0.3870567769635057,Extreme,Moderate,0,12.131205673758842,0.10999999999999988
TRIP78191486,589078,718653,31,F,0,Auto,3.19,11.8,Tuesday,1,22.0,Night,Cloudy,1,Low,0,1.07,1.07,1.07,43.26,43.26,43.26000000000001,40.42990654205608,2.8300934579439243,6.999999999999998,4.1,0.127415056628914,Medium,Fair,0,-1.4210854715202004e-14,0.0
TRIP36891611,577200,714532,40,F,0,Prime,6.69,23.4,Sunday,6,8.0,Morning Peak,Foggy,2,Medium,1,1.23,1.23,1.23,238.08,238.08,238.08,193.5609756097561,44.51902439024392,23.000000000000007,0.8,0.0815567399511436,Low,Moderate,0,0.0,0.0
TRIP15111930,517926,713838,33,F,0,Mini,1.25,5.1,Monday,0,14.0,Midday,Clear,0,Low,0,1.0,1.0,1.0,42.53,42.53,42.53,42.53,0.0,0.0,1.1,0.0175438596491228,Low,Fair,0,0.0,0.0
TRIP87162169,536720,709665,41,M,0,Sedan,5.76,23.9,Tuesday,1,8.0,Morning Peak,Clear,0,Low,0,1.31,1.31,1.31,143.88,143.88,143.88,109.83206106870227,34.04793893129771,31.0,2.7,0.1624287512029018,Medium,Moderate,0,0.0,0.0
TRIP47731700,549930,719326,34,F,1,Bike,3.11,8.8,Thursday,3,8.0,Morning Peak,Clear,0,Medium,1,1.35,1.35,1.35,34.05,34.05,34.04999999999999,25.22222222222221,8.82777777777778,35.000000000000014,1.0,0.1253793767118217,Medium,Moderate,0,7.105427357601002e-15,0.0
TRIP47732326,543369,713586,52,F,0,Bike,5.34,16.8,Friday,4,14.0,Midday,Cloudy,1,Medium,1,1.01,1.01,1.01,43.27,43.27,43.27,42.84158415841584,0.4284158415841617,1.0000000000000075,0.6,0.0060885335702124,Low,Fair,0,0.0,0.0
TRIP18008844,522965,701305,28,Other,1,Prime,4.66,15.5,Tuesday,1,8.0,Morning Peak,Clear,0,Medium,1,1.3,1.3,1.3,196.38,196.38,196.38,151.06153846153845,45.31846153846155,30.00000000000001,6.0,0.2557554223110518,High,Moderate,0,0.0,0.0
TRIP71796901,501796,717113,39,F,0,Auto,19.37,85.1,Tuesday,1,,Night,Clear,0,High,2,1.21,1.21,1.21,214.29,214.29,214.29,177.099173553719,37.190826446280994,21.000000000000004,1.3,0.0898475090680287,Low,Moderate,0,0.0,0.0
TRIP37480942,569425,701705,42,M,1,SUV,9.53,20.5,Thursday,3,8.0,Morning Peak,Cloudy,1,Low,0,1.46,1.46,1.3,279.79,279.79,249.1280821917809,191.6369863013699,88.15301369863013,45.99999999999999,5.9,0.3034643570952697,Extreme,Moderate,0,30.66191780821913,0.15999999999999992
TRIP42368267,558111,704827,31,M,1,Mini,18.08,41.0,Wednesday,2,14.0,Midday,Clear,0,Medium,1,1.0,1.0,1.0,184.58,184.58,184.58,184.58,0.0,0.0,3.8,0.0964912280701754,Low,Fair,0,0.0,0.0
TRIP63680004,573897,709380,38,F,0,SUV,6.97,33.1,Friday,4,18.0,Evening Peak,Clear,0,Severe,3,1.9,1.9,1.3,292.03,292.03,199.81,153.7,138.32999999999998,89.99999999999999,0.6,0.2877341031904655,Extreme,High,1,92.21999999999997,0.5999999999999999
TRIP92366685,592755,713182,64,M,1,Auto,1.98,4.2,Wednesday,2,,Night,Clear,0,Medium,1,1.0,1.0,1.0,36.99,36.99,36.99,36.99,0.0,0.0,9.6,0.2660818713450292,High,Fair,0,0.0,0.0
TRIP46936689,530094,709383,22,F,1,Mini,1.42,4.2,Saturday,5,8.0,Morning Peak,Foggy,2,Medium,1,1.36,1.36,1.36,45.14,45.14,45.14,33.19117647058823,11.948823529411769,36.000000000000014,0.5,0.1139240506329114,Medium,Moderate,0,0.0,0.0
TRIP35870173,550836,714579,18,F,0,Mini,6.06,17.6,Saturday,5,18.0,Evening Peak,Cloudy,1,Medium,1,1.43,1.43,1.3,119.94,119.94,109.03636363636365,83.87412587412588,36.06587412587412,42.99999999999999,8.6,0.3729180546302464,Extreme,Moderate,0,10.903636363636352,0.1299999999999999
TRIP47278242,592479,707071,39,F,0,Auto,12.17,23.2,Sunday,6,18.0,Evening Peak,Rainy,3,High,2,1.86,1.86,1.3,206.73,206.73,144.48870967741934,111.14516129032256,95.58483870967744,86.00000000000001,1.2,0.2926197349914871,Extreme,High,1,62.24129032258065,0.56
TRIP33529507,510589,712907,33,F,1,Bike,10.17,20.4,Wednesday,2,14.0,Midday,Clear,0,Low,0,1.0,1.0,1.0,72.55,72.55,72.55,72.55,0.0,0.0,6.5,0.175438596491228,Medium,Fair,0,0.0,0.0
TRIP71869558,514033,716991,43,M,1,Mini,12.05,22.3,Monday,0,14.0,Midday,Clear,0,High,2,1.11,1.11,1.11,154.62,154.62,154.62,139.2972972972973,15.322702702702712,11.000000000000009,3.7,0.1283773780442668,Medium,Fair,0,0.0,0.0
TRIP67158869,596622,711543,26,M,0,Mini,3.93,19.6,Sunday,6,8.0,Morning Peak,Clear,0,Medium,1,1.33,1.33,1.33,83.78,83.78,83.78,62.99248120300752,20.787518796992487,33.000000000000014,0.6,0.1073543563550225,Medium,Moderate,0,0.0,0.0
