hour,weather,avg_surge
8.0,Clear,1.4169869264923534
8.0,Cloudy,1.4167955801104972
8.0,Foggy,1.4237308146399057
8.0,Rainy,1.666934865900383
8.0,Stormy,1.9222953736654802
14.0,Clear,1.1435276213666108
14.0,Cloudy,1.140863219349458
14.0,Foggy,1.1429476584022038
14.0,Rainy,1.3658643690939412
14.0,Stormy,1.6144123711340206
18.0,Clear,1.4178939005011613
18.0,Cloudy,1.4232089552238805
18.0,Foggy,1.4118676627534685
18.0,Rainy,1.6616591320072334
18.0,Stormy,1.9121926910299005
22.0,Clear,1.1435723771580344
22.0,Cloudy,1.1446286393345217
22.0,Foggy,1.139207920792079
22.0,Rainy,1.374428341384863
22.0,Stormy,1.6168994413407822
